rank,drug_id,drug_name,score,raw_score,status
88,CHEMBL4297533,BREMELANOTIDE ACETATE,0.77,-0.2788,novel
89,CHEMBL389621,HYDROCORTISONE,0.77,-0.2791,novel
90,CHEMBL2095206,BOSUTINIB MONOHYDRATE,0.769,-0.2919,novel
91,CHEMBL535650,MEFLOQUINE HYDROCHLORIDE,0.7672,-0.3154,novel
92,CHEMBL1200485,SORAFENIB TOSYLATE,0.7654,-0.338,novel
93,CHEMBL1743041,MOGAMULIZUMAB,0.7646,-0.3492,novel
94,CHEMBL231068,FLIBANSERIN,0.7638,-0.3588,novel
95,CHEMBL1642,IMATINIB MESYLATE,0.7636,-0.3614,novel
96,CHEMBL4297955,FOLLITROPIN,0.7617,-0.3866,novel
97,CHEMBL1201198,PEMIROLAST,0.7603,-0.4042,novel
98,CHEMBL3990029,RISANKIZUMAB,0.7602,-0.4048,novel
99,CHEMBL4297819,ROPEGINTERFERON ALFA-2B,0.7589,-0.4216,novel
100,CHEMBL4585668,BELZUTIFAN,0.7583,-0.4299,novel
101,CHEMBL4297185,DAROLUTAMIDE,0.7576,-0.4393,novel
102,CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,0.7574,-0.4413,novel
103,CHEMBL1370,BUDESONIDE,0.757,-0.4473,novel
104,CHEMBL221959,TOFACITINIB,0.7562,-0.4573,novel
105,CHEMBL2364635,TAFENOQUINE SUCCINATE,0.7556,-0.4645,novel
106,CHEMBL1200580,SULFOXONE SODIUM,0.7553,-0.4686,novel
107,CHEMBL1364144,METHYLPREDNISOLONE ACETATE,0.7553,-0.469,novel
108,CHEMBL103,PROGESTERONE,0.7551,-0.4718,novel
109,CHEMBL1292,CLOFAZIMINE,0.7548,-0.4753,novel
110,CHEMBL1237054,PLICAMYCIN,0.7545,-0.4787,novel
111,CHEMBL1511,ESTRADIOL VALERATE,0.7535,-0.492,novel
112,CHEMBL3244648,METHOTREXATE SODIUM,0.7519,-0.5121,novel
113,CHEMBL1678,DONEPEZIL HYDROCHLORIDE,0.7514,-0.519,novel
114,CHEMBL4297862,BOTULINUM TOXIN TYPE A,0.7512,-0.5218,novel
115,CHEMBL1719,OLOPATADINE HYDROCHLORIDE,0.7492,-0.5475,novel
116,CHEMBL1082407,ENZALUTAMIDE,0.7482,-0.5598,novel
117,CHEMBL260538,ULIPRISTAL ACETATE,0.7477,-0.5671,novel
118,CHEMBL1567,SUNITINIB MALATE,0.7471,-0.5751,novel
119,CHEMBL500576,TEMOPORFIN,0.7463,-0.585,novel
120,CHEMBL74,CROMOLYN SODIUM,0.7463,-0.5852,novel
121,CHEMBL1213492,GIVINOSTAT,0.7463,-0.5854,novel
122,CHEMBL1201558,INTERFERON ALFA-2B,0.7438,-0.6167,novel
123,CHEMBL2095212,MIRABEGRON,0.7424,-0.6349,novel
124,CHEMBL1743068,SECUKINUMAB,0.7414,-0.6478,novel
125,CHEMBL688,FENTANYL CITRATE,0.7408,-0.6559,novel
126,CHEMBL2107826,VIBEGRON,0.7408,-0.6561,novel
127,CHEMBL1699,MEMANTINE HYDROCHLORIDE,0.7402,-0.6641,novel
128,CHEMBL3707227,ATEZOLIZUMAB,0.7389,-0.6806,novel
129,CHEMBL977,HYDROCORTISONE HEMISUCCINATE ANHYDROUS,0.7383,-0.6887,novel
130,CHEMBL4297220,ASCIMINIB HYDROCHLORIDE,0.7382,-0.6899,novel
131,CHEMBL1747,TOBRAMYCIN,0.7372,-0.7027,novel
132,CHEMBL1159650,CLOBETASOL PROPIONATE,0.7368,-0.7077,novel
133,CHEMBL1201583,BEVACIZUMAB,0.7368,-0.7079,novel
134,CHEMBL3286830,LORLATINIB,0.7354,-0.7261,novel
135,CHEMBL408513,BELINOSTAT,0.7351,-0.7298,novel
136,CHEMBL4559134,SELPERCATINIB,0.7348,-0.734,novel
137,CHEMBL441738,AFAMELANOTIDE,0.7339,-0.745,novel
138,CHEMBL1231,OXYBUTYNIN,0.7332,-0.7544,novel
139,CHEMBL1021,NEPAFENAC,0.7329,-0.7573,novel
140,CHEMBL1554,DACTINOMYCIN,0.7324,-0.7642,novel
141,CHEMBL1201570,ANAKINRA,0.7324,-0.7646,novel
142,CHEMBL1043,DAPSONE,0.7323,-0.7662,novel
143,CHEMBL14,CARBACHOL,0.7311,-0.7812,novel
144,CHEMBL1200750,PROMETHAZINE HYDROCHLORIDE,0.7295,-0.802,novel
145,CHEMBL2108429,MEPOLIZUMAB,0.7292,-0.8055,novel
146,CHEMBL3988900,ZINC OXIDE,0.7292,-0.8061,novel
147,CHEMBL2108658,TREMELIMUMAB,0.7291,-0.8071,novel
148,CHEMBL3039502,DUVELISIB,0.7286,-0.814,novel
149,CHEMBL160,CYCLOSPORINE,0.7283,-0.8172,novel
150,CHEMBL4298138,REPOTRECTINIB,0.7283,-0.8173,novel
151,CHEMBL1650,CORTISONE ACETATE,0.7282,-0.8188,novel
152,CHEMBL79,LIDOCAINE,0.7277,-0.8254,novel
153,CHEMBL1655,TOREMIFENE,0.7259,-0.8481,novel
154,CHEMBL2070241,BREMELANOTIDE,0.7258,-0.8494,novel
155,CHEMBL1065,METHYSERGIDE,0.7252,-0.8576,novel
156,CHEMBL2107067,TESTOSTERONE UNDECANOATE,0.725,-0.8604,novel
157,CHEMBL1230314,ESTETROL ANHYDROUS,0.7249,-0.8608,novel
158,CHEMBL2105756,TIVOZANIB HYDROCHLORIDE,0.7249,-0.8617,novel
159,CHEMBL1015,EVANS BLUE FREE ACID,0.7248,-0.8624,novel
160,CHEMBL4216467,RIPRETINIB,0.7241,-0.8712,novel
161,CHEMBL3716057,GEFAPIXANT,0.7238,-0.8759,novel
162,CHEMBL3039540,ADUCANUMAB,0.723,-0.8862,novel
163,CHEMBL1743048,OBINUTUZUMAB,0.7226,-0.8914,novel
164,CHEMBL1201566,DARBEPOETIN ALFA,0.7224,-0.8934,novel
165,CHEMBL1200703,CHLORDIAZEPOXIDE HYDROCHLORIDE,0.7217,-0.902,novel
166,CHEMBL1475,TRIOXSALEN,0.7214,-0.9063,novel
167,CHEMBL3183409,APALUTAMIDE,0.7214,-0.907,novel
168,CHEMBL21536,XANOMELINE,0.7211,-0.9109,novel
169,CHEMBL1201740,NILOTINIB HYDROCHLORIDE MONOHYDRATE,0.7205,-0.9181,novel
170,CHEMBL363295,TERODILINE,0.7202,-0.9215,novel
171,CHEMBL2364648,GUSELKUMAB,0.7202,-0.9223,novel
172,CHEMBL1569,AMANTADINE HYDROCHLORIDE,0.72,-0.9241,known
173,CHEMBL848,LENALIDOMIDE,0.7184,-0.9445,novel
174,CHEMBL3833321,LECANEMAB,0.718,-0.9506,novel
175,CHEMBL1201119,LIOTHYRONINE SODIUM,0.718,-0.9506,novel
176,CHEMBL1200728,GUANIDINE HYDROCHLORIDE,0.7177,-0.954,novel
177,CHEMBL1774461,FLORBETAPIR F 18,0.7176,-0.9553,novel
178,CHEMBL4204794,AVAPRITINIB,0.7176,-0.9555,novel
179,CHEMBL1531,ETONOGESTREL,0.7175,-0.9566,novel
180,CHEMBL1555,GALANTAMINE HYDROBROMIDE,0.7167,-0.9669,novel
181,CHEMBL4297245,DONANEMAB,0.7163,-0.9718,novel
182,CHEMBL3545376,ERDAFITINIB,0.7161,-0.9743,novel
183,CHEMBL1201102,TRIFLUPROMAZINE HYDROCHLORIDE,0.7161,-0.9748,novel
184,CHEMBL1201605,DACLIZUMAB,0.7158,-0.9786,novel
185,CHEMBL34259,METHOTREXATE,0.7156,-0.9812,novel
186,CHEMBL1201581,INFLIXIMAB,0.7153,-0.9853,novel
187,CHEMBL1200490,CETRORELIX,0.7153,-0.9853,novel
188,CHEMBL1194325,ACLIDINIUM,0.7147,-0.9935,novel
189,CHEMBL1529,DIPHENIDOL HYDROCHLORIDE,0.7145,-0.9951,novel
190,CHEMBL464,ETRETINATE,0.7137,-1.0054,novel
191,CHEMBL1900528,TIOTROPIUM,0.7136,-1.007,novel
192,CHEMBL1201747,ALCAFTADINE,0.7128,-1.0174,novel
193,CHEMBL5315093,AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE,0.7125,-1.0209,novel
194,CHEMBL502835,NINTEDANIB,0.7125,-1.0214,novel
195,CHEMBL4435170,DEUCRAVACITINIB,0.7119,-1.029,novel
196,CHEMBL1200974,CARBINOXAMINE MALEATE,0.7113,-1.0373,novel
