rank,drug_id,drug_name,score,raw_score,status
366,CHEMBL204656,ELVITEGRAVIR,0.6602,-1.6964,novel
367,CHEMBL1447,LINCOMYCIN,0.66,-1.6993,novel
368,CHEMBL2105720,LESINURAD,0.6596,-1.7048,novel
369,CHEMBL1173655,AFATINIB,0.6595,-1.7053,novel
370,CHEMBL6068354,"MEASLES VIRUS, LIVE ATTENUATED",0.659,-1.7127,novel
371,CHEMBL376897,METHSCOPOLAMINE,0.6589,-1.7133,novel
372,CHEMBL1200712,EVANS BLUE,0.6586,-1.7176,novel
373,CHEMBL1676,FLUTICASONE FUROATE,0.6585,-1.7186,novel
374,CHEMBL1722209,TOLTERODINE TARTRATE,0.6585,-1.7191,novel
375,CHEMBL5315064,FOLLITROPIN DELTA,0.6584,-1.7196,novel
376,CHEMBL1276308,MIFEPRISTONE,0.6583,-1.7212,novel
377,CHEMBL3137342,DINUTUXIMAB,0.6574,-1.7323,novel
378,CHEMBL1200927,DEXCHLORPHENIRAMINE MALEATE,0.6572,-1.7358,novel
379,CHEMBL3137308,PEFICITINIB,0.6566,-1.7429,novel
380,CHEMBL2108675,DUPILUMAB,0.6563,-1.7464,novel
381,CHEMBL866,MYCOPHENOLIC ACID,0.6563,-1.747,novel
382,CHEMBL3301607,FILGOTINIB,0.6559,-1.7519,novel
383,CHEMBL1743049,OLARATUMAB,0.6558,-1.7535,novel
384,CHEMBL2178422,RIMEGEPANT,0.6555,-1.7579,novel
385,CHEMBL5314355,POLYMYXIN B SULFATE,0.6555,-1.7579,novel
386,CHEMBL3989866,BICTEGRAVIR,0.6554,-1.7591,novel
387,CHEMBL54349,ALPIDEM,0.6552,-1.7611,novel
388,CHEMBL658,SUFENTANIL,0.655,-1.7635,novel
389,CHEMBL1399,ANASTROZOLE,0.6548,-1.7667,novel
390,CHEMBL24828,VANDETANIB,0.6543,-1.7732,novel
391,CHEMBL1201199,LEUPROLIDE,0.654,-1.7761,novel
392,CHEMBL1201161,MAFENIDE ACETATE,0.6538,-1.7798,novel
393,CHEMBL415606,DEGARELIX,0.6534,-1.7844,novel
394,CHEMBL3707348,ACALABRUTINIB,0.6534,-1.7845,novel
395,CHEMBL2005186,BELUMOSUDIL,0.6534,-1.7847,novel
396,CHEMBL746,NEDOCROMIL,0.6531,-1.7886,novel
397,CHEMBL554,LAPATINIB,0.653,-1.7901,novel
398,CHEMBL5416410,DASATINIB,0.6523,-1.7981,novel
399,CHEMBL3301603,GILTERITINIB FUMARATE,0.6523,-1.7991,novel
400,CHEMBL4594328,BEREMAGENE GEPERPAVEC,0.6522,-1.8004,novel
401,CHEMBL1356238,PYRITHIONE,0.652,-1.8024,novel
402,CHEMBL255863,NILOTINIB,0.6518,-1.8051,novel
403,CHEMBL1190,DECAMETHONIUM,0.6518,-1.8052,novel
404,CHEMBL81,RALOXIFENE,0.6518,-1.8055,novel
405,CHEMBL205596,CHOLIC ACID,0.6516,-1.8079,novel
406,CHEMBL1620,DIPHENHYDRAMINE HYDROCHLORIDE,0.6515,-1.8089,novel
407,CHEMBL1201081,METHYLPREDNISOLONE SODIUM SUCCINATE,0.6513,-1.8118,novel
408,CHEMBL1201571,ALEFACEPT,0.6507,-1.8192,novel
409,CHEMBL1201335,GLYCOPYRRONIUM,0.6505,-1.8214,novel
410,CHEMBL3786343,OLMUTINIB,0.6505,-1.8214,novel
411,CHEMBL428647,PACLITAXEL,0.6504,-1.8235,novel
412,CHEMBL1201112,NELARABINE,0.6501,-1.8265,novel
413,CHEMBL90,HISTAMINE,0.6501,-1.8272,novel
414,CHEMBL4164059,PITOLISANT HYDROCHLORIDE,0.6494,-1.8356,novel
415,CHEMBL1474963,BENZARONE,0.6493,-1.8371,novel
416,CHEMBL1201607,NATALIZUMAB,0.6493,-1.8374,novel
417,CHEMBL483254,PANOBINOSTAT,0.6492,-1.8383,novel
418,CHEMBL1201836,OFATUMUMAB,0.649,-1.8407,novel
419,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,0.649,-1.8418,novel
420,CHEMBL1201146,NORETHINDRONE ACETATE,0.6489,-1.8427,novel
421,CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,0.6489,-1.843,novel
422,CHEMBL1382,TOLTERODINE,0.6486,-1.8468,novel
423,CHEMBL4594332,DONISLECEL,0.6481,-1.8533,novel
424,CHEMBL3655081,ABROCITINIB,0.648,-1.8537,novel
425,CHEMBL1170,TESTOSTERONE PROPIONATE,0.6479,-1.856,novel
426,CHEMBL2108726,TECHNETIUM TC 99M TILMANOCEPT,0.6478,-1.8571,novel
427,CHEMBL454446,CEFDITOREN PIVOXIL,0.6477,-1.858,novel
428,CHEMBL1679,LEUCOVORIN,0.6472,-1.8643,novel
429,CHEMBL4065616,REMDESIVIR,0.6472,-1.8644,novel
430,CHEMBL1200374,EXEMESTANE,0.6472,-1.8645,novel
431,CHEMBL3813873,PEXIDARTINIB,0.647,-1.8667,novel
432,CHEMBL1231574,LEVOMEFOLIC ACID,0.6469,-1.8686,novel
433,CHEMBL6067493,BLEOMYCIN SULFATE,0.6465,-1.874,novel
434,CHEMBL2105704,LENVATINIB MESYLATE,0.646,-1.8794,novel
435,CHEMBL1201746,PRALATREXATE,0.6459,-1.8814,novel
436,CHEMBL254316,RALTEGRAVIR,0.6459,-1.8816,novel
437,CHEMBL1533,DESOGESTREL,0.6457,-1.8833,novel
438,CHEMBL5095474,EXAGAMGLOGENE AUTOTEMCEL,0.6451,-1.8921,novel
439,CHEMBL4101807,VOXELOTOR,0.6446,-1.8975,novel
440,CHEMBL1542,AZATHIOPRINE,0.6446,-1.898,novel
441,CHEMBL64894,GENTIAN VIOLET,0.6446,-1.8982,novel
442,CHEMBL1355,SODIUM CITRATE,0.644,-1.9057,novel
443,CHEMBL71,CHLORPROMAZINE,0.6438,-1.909,novel
444,CHEMBL1734,SOLIFENACIN,0.6435,-1.9126,novel
445,CHEMBL3348963,TELOTRISTAT ETIPRATE,0.6433,-1.9151,novel
446,CHEMBL13280,FLUNITRAZEPAM,0.6433,-1.9153,novel
447,CHEMBL1201826,IDURSULFASE,0.643,-1.919,novel
448,CHEMBL650,METHYLPREDNISOLONE,0.6429,-1.9201,novel
449,CHEMBL1200938,METHYSERGIDE MALEATE,0.6429,-1.9204,novel
450,CHEMBL4297843,TORIPALIMAB,0.6428,-1.9214,novel
451,CHEMBL3707395,ELAFIBRANOR,0.6425,-1.9248,novel
452,CHEMBL2108730,SARILUMAB,0.6421,-1.931,novel
453,CHEMBL3894860,TRILACICLIB,0.6415,-1.9377,novel
454,CHEMBL467058,LANINAMIVIR OCTANOATE,0.6414,-1.9396,novel
455,CHEMBL76,CHLOROQUINE,0.6414,-1.9397,novel
456,CHEMBL225072,PEMETREXED,0.6409,-1.9453,novel
457,CHEMBL409,BICALUTAMIDE,0.6407,-1.9484,novel
458,CHEMBL5095292,TARLATAMAB,0.6407,-1.9486,novel
459,CHEMBL715,OLANZAPINE,0.6401,-1.9558,novel
460,CHEMBL4297213,AFAMELANOTIDE ACETATE,0.6401,-1.9563,novel
461,CHEMBL741,LAMOTRIGINE,0.6401,-1.9566,novel
462,CHEMBL635,PREDNISONE,0.6398,-1.9605,novel
463,CHEMBL1888176,TROSPIUM,0.6397,-1.9618,novel
464,CHEMBL1200681,MONTELUKAST SODIUM,0.6396,-1.9625,novel
465,CHEMBL1514,LEVOMETHADYL ACETATE,0.6389,-1.9717,novel
466,CHEMBL1200969,DUTASTERIDE,0.6388,-1.9727,novel
467,CHEMBL4085457,RITLECITINIB,0.6387,-1.9749,novel
468,CHEMBL2105629,VINFLUNINE DITARTRATE,0.6386,-1.9759,novel
469,CHEMBL1873475,IBRUTINIB,0.6385,-1.9772,novel
470,CHEMBL1201774,SAPROPTERIN,0.6382,-1.9805,novel
471,CHEMBL1724,MEPENZOLATE BROMIDE,0.638,-1.9837,novel
472,CHEMBL262777,VANCOMYCIN,0.6378,-1.9864,novel
473,CHEMBL1201266,LODOXAMIDE,0.6377,-1.9869,novel
474,CHEMBL1201346,BALSALAZIDE,0.6377,-1.9876,novel
475,CHEMBL2216870,IDELALISIB,0.6373,-1.9918,novel
476,CHEMBL1683,HYDROCORTISONE BUTYRATE,0.6371,-1.9947,novel
477,CHEMBL5095449,MOTIXAFORTIDE ACETATE,0.6371,-1.9952,novel
478,CHEMBL4298199,IDECABTAGENE VICLEUCEL,0.6368,-1.9983,novel
479,CHEMBL3948730,UMBRALISIB,0.6364,-2.0037,novel
480,CHEMBL1201749,DIFLUPREDNATE,0.6364,-2.0042,novel
481,CHEMBL1201507,GLATIRAMER ACETATE,0.6363,-2.0055,novel
482,CHEMBL1444,LETROZOLE,0.6359,-2.0109,novel
483,CHEMBL1201073,SUCCIMER,0.6357,-2.0133,novel
484,CHEMBL2403238,CABOTEGRAVIR,0.6356,-2.014,novel
485,CHEMBL6067492,BLEOMYCIN,0.6355,-2.0158,novel
486,CHEMBL831,LOXAPINE,0.6354,-2.0164,novel
487,CHEMBL11359,CISPLATIN,0.6352,-2.0194,novel
488,CHEMBL4594503,TALQUETAMAB,0.6352,-2.0199,novel
489,CHEMBL5315097,ALLOGENEIC T CELLS GENETICALLY MODIFIED WITH A RETROVIRAL VECTOR ENCODING FOR A TRUNCATED FORM OF THE HUMAN LOW AFFINITY NERVE GROWTH FACTOR RECEPTOR (DELTALNGFR) AND THE HERPES SIMPLEX I VIRUS THYMIDINE KINASE (HSV-TK MUT2),0.6351,-2.0207,novel
490,CHEMBL1252,ABARELIX,0.6351,-2.0207,novel
491,CHEMBL2040682,CICLESONIDE,0.635,-2.022,novel
492,CHEMBL1201236,CARBIDOPA ANHYDROUS,0.6349,-2.0228,novel
493,CHEMBL1201589,OMALIZUMAB,0.6339,-2.0359,novel
494,CHEMBL4297803,PEGZILARGINASE,0.6339,-2.0359,novel
495,CHEMBL4297573,TAGRAXOFUSP,0.6337,-2.0386,novel
496,CHEMBL428880,CROMOLYN,0.6334,-2.0421,novel
497,CHEMBL1328,PENTAGASTRIN,0.6331,-2.0463,novel
498,CHEMBL2105695,TELOTRISTAT ETHYL,0.6331,-2.0466,novel
499,CHEMBL1201568,PEGFILGRASTIM,0.6328,-2.0504,novel
500,CHEMBL98,VORINOSTAT,0.6328,-2.0508,novel
501,CHEMBL1201001,MECHLORETHAMINE HYDROCHLORIDE,0.6326,-2.0535,novel
502,CHEMBL4594311,BETIBEGLOGENE AUTOTEMCEL,0.6324,-2.0551,novel
503,CHEMBL1201577,CETUXIMAB,0.632,-2.0603,novel
504,CHEMBL1800159,RELUGOLIX,0.6317,-2.064,novel
505,CHEMBL1200467,HYDROXYZINE PAMOATE,0.6316,-2.0663,novel
506,CHEMBL4297984,NAXITAMAB,0.6314,-2.0683,novel
507,CHEMBL900,ORPHENADRINE,0.6313,-2.0697,novel
508,CHEMBL395110,MEPAZINE,0.6312,-2.0713,novel
509,CHEMBL3707243,GLYCOPYRRONIUM TOSYLATE,0.6312,-2.0714,novel
510,CHEMBL553,ERLOTINIB,0.6311,-2.0724,novel
511,CHEMBL1200935,DARIFENACIN HYDROBROMIDE,0.6308,-2.0767,novel
512,CHEMBL3137309,VENETOCLAX,0.6306,-2.0785,novel
513,CHEMBL1789843,BELIMUMAB,0.6305,-2.0801,novel
514,CHEMBL679,EPINEPHRINE,0.6302,-2.0843,novel
515,CHEMBL1640,TRYPAN BLUE,0.6297,-2.0907,novel
516,CHEMBL83,TAMOXIFEN,0.6297,-2.0908,novel
517,CHEMBL1614701,SELUMETINIB,0.6295,-2.0933,novel
518,CHEMBL6067642,CODEINE PHOSPHATE,0.6294,-2.0938,novel
519,CHEMBL1201576,RITUXIMAB,0.6292,-2.0969,novel
520,CHEMBL1467,ALLOPURINOL,0.6289,-2.1006,novel
521,CHEMBL1200904,SELEGILINE HYDROCHLORIDE,0.6286,-2.1043,novel
522,CHEMBL1201823,ABATACEPT,0.6285,-2.1054,novel
523,CHEMBL1201833,GOLIMUMAB,0.6285,-2.106,novel
524,CHEMBL439,SULFADIAZINE,0.6283,-2.1079,novel
525,CHEMBL4279047,VORASIDENIB,0.6276,-2.1174,novel
526,CHEMBL461101,ELTROMBOPAG,0.6273,-2.121,novel
527,CHEMBL1387,NORETHYNODREL,0.6273,-2.1218,novel
528,CHEMBL5315080,BULEVIRTIDE ACETATE,0.6272,-2.1226,novel
529,CHEMBL5314377,GANIRELIX ACETATE,0.627,-2.1258,novel
530,CHEMBL6067484,GENTAMICIN SULFATE,0.6268,-2.1275,novel
531,CHEMBL1287853,FEDRATINIB,0.6268,-2.1281,novel
532,CHEMBL5314341,GLUCAGON,0.6267,-2.1296,novel
533,CHEMBL1423,PIMOZIDE,0.6262,-2.136,novel
534,CHEMBL846,CALCITRIOL,0.6262,-2.1363,novel
535,CHEMBL6068352,VIBRIO CHOLERAE TOXIN B SUBUNIT,0.6254,-2.1454,novel
536,CHEMBL2219416,NALOXEGOL OXALATE,0.6253,-2.147,novel
537,CHEMBL1200430,ESTRADIOL ACETATE,0.6252,-2.1491,novel
538,CHEMBL121663,DEQUALINIUM CHLORIDE,0.6251,-2.1503,novel
539,CHEMBL1742991,BENRALIZUMAB,0.6248,-2.154,novel
540,CHEMBL727,THIOGUANINE,0.6246,-2.1563,novel
541,CHEMBL1588,THIAMINE,0.6242,-2.1614,novel
542,CHEMBL5314346,VERTEPORFIN,0.6232,-2.1742,novel
543,CHEMBL3989939,LAROTRECTINIB SULFATE,0.623,-2.1774,novel
544,CHEMBL4297975,VARICELLA ZOSTER VIRUS ENVELOPE GLYCOPROTEIN E,0.6228,-2.1798,novel
545,CHEMBL965,CARBAMOYLCHOLINE,0.6226,-2.1827,novel
546,CHEMBL1473,FLUTICASONE PROPIONATE,0.6225,-2.1835,novel
547,CHEMBL187709,TRIPARANOL,0.6223,-2.186,novel
548,CHEMBL1201724,POVIDONE-IODINE,0.6223,-2.1866,novel
549,CHEMBL1201831,CERTOLIZUMAB PEGOL,0.6221,-2.1892,novel
550,CHEMBL523299,UMECLIDINIUM BROMIDE,0.6219,-2.1907,novel
551,CHEMBL1078178,MOMELOTINIB,0.6218,-2.1928,novel
552,CHEMBL551466,ACLIDINIUM BROMIDE,0.6217,-2.1932,novel
553,CHEMBL1201147,OCTOCRYLENE,0.6216,-2.1954,novel
554,CHEMBL1201621,SOMATROPIN,0.6214,-2.1976,novel
555,CHEMBL927,CEFDINIR,0.6212,-2.2001,novel
556,CHEMBL3039520,LASMIDITAN,0.6211,-2.2017,novel
557,CHEMBL2028852,ICATIBANT ACETATE,0.6211,-2.2018,novel
558,CHEMBL515387,GOSOGLIPTIN,0.6209,-2.2038,novel
559,CHEMBL1201018,CEFACLOR,0.6208,-2.206,novel
560,CHEMBL1237023,DENOSUMAB,0.6207,-2.2067,novel
561,CHEMBL54,HALOPERIDOL,0.6206,-2.2076,novel
562,CHEMBL455186,TREOSULFAN,0.6206,-2.2077,novel
563,CHEMBL4298025,ZENOCUTUZUMAB,0.6204,-2.2105,novel
564,CHEMBL19393,LEVAMFETAMINE,0.6202,-2.213,novel
565,CHEMBL2108350,CONESTAT ALFA,0.6202,-2.2134,novel
566,CHEMBL1238,AZELAIC ACID,0.62,-2.2153,novel
567,CHEMBL1084172,VILANTEROL TRIFENATATE,0.62,-2.2159,novel
568,CHEMBL3989960,SELADELPAR LYSINE,0.6197,-2.2193,novel
569,CHEMBL3578202,GOZETOTIDE,0.6195,-2.2223,novel
570,CHEMBL18,ETHOXZOLAMIDE,0.6193,-2.2249,novel
571,CHEMBL25202,TAMIBAROTENE,0.6193,-2.2253,novel
572,CHEMBL4650246,BIRCH TRITERPENES,0.619,-2.229,novel
573,CHEMBL2107884,RESLIZUMAB,0.6189,-2.2302,novel
574,CHEMBL1738797,ALECTINIB,0.6188,-2.2314,novel
575,CHEMBL4208229,ASCIMINIB,0.6187,-2.2325,novel
576,CHEMBL1200679,ZINC CHLORIDE,0.6185,-2.2347,novel
577,CHEMBL4650256,ZANIDATAMAB,0.6179,-2.2425,novel
578,CHEMBL905,RIZATRIPTAN,0.6178,-2.244,novel
579,CHEMBL4297986,COAGULATION FACTOR IX HUMAN,0.6178,-2.2441,novel
580,CHEMBL691,ETHINYL ESTRADIOL,0.6177,-2.2449,novel
581,CHEMBL3707229,TEZEPELUMAB,0.6173,-2.2505,novel
582,CHEMBL3545189,LANADELUMAB,0.6171,-2.2537,novel
583,CHEMBL1625,OXYBENZONE,0.617,-2.2542,novel
584,CHEMBL929,DELAVIRDINE MESYLATE,0.6169,-2.2553,novel
585,CHEMBL1413,CICLOPIROX,0.6168,-2.2565,novel
586,CHEMBL4582651,PRALSETINIB,0.6167,-2.2578,novel
587,CHEMBL2095209,ICOSAPENT ETHYL,0.6166,-2.26,novel
588,CHEMBL38827,LUMEFANTRINE,0.6165,-2.2613,novel
589,CHEMBL2103735,CETRORELIX ACETATE,0.6164,-2.2624,novel
590,CHEMBL2205807,ABAMETAPIR,0.6164,-2.2625,novel
591,CHEMBL1951071,ARFORMOTEROL TARTRATE,0.6163,-2.263,novel
592,CHEMBL3301627,TENAPANOR HYDROCHLORIDE,0.6162,-2.2654,novel
593,CHEMBL487253,BENDAMUSTINE,0.6161,-2.2663,novel
594,CHEMBL1200558,BACITRACIN,0.6161,-2.2664,novel
595,CHEMBL1133,OXYBUTYNIN CHLORIDE,0.616,-2.2674,novel
596,CHEMBL36,PYRIMETHAMINE,0.6158,-2.2704,novel
597,CHEMBL1200437,QUINIDINE GLUCONATE,0.6157,-2.271,novel
598,CHEMBL1358,FULVESTRANT,0.6155,-2.2733,novel
599,CHEMBL104,CLOTRIMAZOLE,0.6153,-2.2767,novel
600,CHEMBL314854,FINGOLIMOD,0.6149,-2.2812,novel
601,CHEMBL3545185,SELINEXOR,0.6147,-2.2841,novel
602,CHEMBL3989697,RIBOFLAVIN 5'-PHOSPHATE SODIUM,0.6145,-2.2863,novel
603,CHEMBL1795071,RUXOLITINIB PHOSPHATE,0.6143,-2.2896,novel
604,CHEMBL3301624,SETMELANOTIDE,0.6142,-2.2907,novel
605,CHEMBL1371,CHLORZOXAZONE,0.614,-2.293,novel
606,CHEMBL1201059,PROGUANIL HYDROCHLORIDE,0.6139,-2.2945,novel
607,CHEMBL2108939,"VIBRIO CHOLERAE, LIVE ATTENUATED",0.6138,-2.2962,novel
608,CHEMBL2108546,PEGASPARGASE,0.6136,-2.2983,novel
609,CHEMBL2219411,MOMELOTINIB DIHYDROCHLORIDE,0.6135,-2.2996,novel
610,CHEMBL3545110,RIBOCICLIB,0.6133,-2.3017,novel
611,CHEMBL529,AZITHROMYCIN,0.6132,-2.3041,novel
612,CHEMBL3707331,ROLAPITANT,0.613,-2.306,novel
613,CHEMBL1750,CLOFARABINE,0.6129,-2.3079,novel
614,CHEMBL513,CARMUSTINE,0.6129,-2.308,novel
615,CHEMBL1201121,HETACILLIN POTASSIUM,0.6127,-2.3094,novel
616,CHEMBL1201759,BEPOTASTINE BESYLATE,0.6127,-2.3103,novel
617,CHEMBL182,GANCICLOVIR,0.6125,-2.313,novel
618,CHEMBL1201772,PRASUGREL,0.6125,-2.3131,novel
619,CHEMBL361506,PENTAMIDINE ISETHIONATE,0.6121,-2.3177,novel
620,CHEMBL4297549,HUMAN C1-ESTERASE INHIBITOR,0.6121,-2.3177,novel
621,CHEMBL1278,NARATRIPTAN,0.612,-2.3188,novel
622,CHEMBL1201562,INTERFERON BETA-1A,0.612,-2.3196,novel
623,CHEMBL1743007,DARATUMUMAB,0.6117,-2.3232,novel
624,CHEMBL4297830,SOMATROGON,0.6111,-2.3306,novel
625,CHEMBL1597,DIMERCAPROL,0.6111,-2.3312,novel
626,CHEMBL58510,CHLOROQUINE PHOSPHATE,0.611,-2.3324,novel
627,CHEMBL6068490,COAGULATION FACTOR VII HUMAN,0.6109,-2.3331,novel
628,CHEMBL2107554,SODIUM DIBUNATE,0.6106,-2.3365,novel
629,CHEMBL556,DEFEROXAMINE,0.6105,-2.3383,novel
630,CHEMBL5315056,NALOXONE HYDROCHLORIDE DIHYDRATE,0.6104,-2.3392,novel
631,CHEMBL1201564,INTERFERON GAMMA-1B,0.6104,-2.3402,novel
632,CHEMBL4297590,DARIDOREXANT,0.61,-2.3453,novel
633,CHEMBL682,AMODIAQUINE,0.6098,-2.348,novel
634,CHEMBL4297212,SOLRIAMFETOL HYDROCHLORIDE,0.6097,-2.3487,novel
635,CHEMBL4298047,TAFASITAMAB,0.6095,-2.351,novel
636,CHEMBL1370561,AMINOPHYLLINE,0.6095,-2.3514,novel
637,CHEMBL328190,LASOFOXIFENE,0.609,-2.3575,novel
638,CHEMBL3889654,LAROTRECTINIB,0.609,-2.3579,novel
639,CHEMBL1201837,ECALLANTIDE,0.609,-2.358,novel
640,CHEMBL760,ANAGRELIDE,0.6087,-2.3615,novel
641,CHEMBL705,ALITRETINOIN,0.6081,-2.3698,novel
642,CHEMBL4594230,LIPEGFILGRASTIM,0.6081,-2.3699,novel
643,CHEMBL370805,COCAINE,0.6078,-2.3732,novel
644,CHEMBL1279,FROVATRIPTAN,0.6071,-2.3817,novel
645,CHEMBL43452,POMALIDOMIDE,0.6069,-2.3843,novel
646,CHEMBL4297950,EFBEMALENOGRASTIM ALFA,0.6068,-2.3859,novel
647,CHEMBL1346,DARIFENACIN,0.6063,-2.3926,novel
648,CHEMBL3301582,POLATUZUMAB VEDOTIN,0.6063,-2.3932,novel
649,CHEMBL1201447,CALFACTANT,0.6061,-2.3951,novel
650,CHEMBL6067975,CROTAMITON,0.6061,-2.3955,novel
651,CHEMBL341812,IBUFENAC,0.606,-2.3959,novel
652,CHEMBL230158,SELADELPAR,0.606,-2.3971,novel
653,CHEMBL2110732,DACOMITINIB ANHYDROUS,0.606,-2.3971,novel
654,CHEMBL311498,CIANIDANOL,0.6057,-2.3998,novel
655,CHEMBL1633,KETOTIFEN FUMARATE,0.6054,-2.4037,novel
656,CHEMBL6068494,"BACILLUS ANTHRACIS PROTECTIVE ANTIGEN, ADSORBED",0.6053,-2.405,novel
657,CHEMBL5095051,VENLAFAXINE BESYLATE,0.6053,-2.405,novel
658,CHEMBL1085,ACETOPHENAZINE,0.6051,-2.4082,novel
659,CHEMBL1237022,TOCILIZUMAB,0.6049,-2.4101,novel
660,CHEMBL579205,FLUTEMETAMOL,0.6049,-2.4105,novel
661,CHEMBL4298209,BELANTAMAB MAFODOTIN,0.6048,-2.4115,novel
662,CHEMBL329522,EXIFONE,0.6048,-2.4117,novel
663,CHEMBL1535,HYDROXYCHLOROQUINE,0.6047,-2.4129,novel
664,CHEMBL3349607,PASIREOTIDE,0.6047,-2.4138,novel
665,CHEMBL211456,EPHEDRINE,0.6046,-2.4147,novel
666,CHEMBL3137326,DEUTETRABENAZINE,0.6045,-2.4152,novel
667,CHEMBL1200850,GANCICLOVIR SODIUM,0.6045,-2.4163,novel
668,CHEMBL2105638,DELAFLOXACIN MEGLUMINE,0.6044,-2.4172,novel
669,CHEMBL3402762,TEPOTINIB,0.6042,-2.4199,novel
670,CHEMBL1607273,CETIRIZINE HYDROCHLORIDE,0.6041,-2.4207,novel
671,CHEMBL1743010,ELOTUZUMAB,0.6039,-2.4237,novel
672,CHEMBL1377,PROGUANIL,0.6039,-2.424,novel
673,CHEMBL1753,CLINDAMYCIN,0.603,-2.4355,novel
674,CHEMBL2105708,PONATINIB HYDROCHLORIDE,0.6026,-2.4406,novel
675,CHEMBL1201622,PORACTANT ALFA,0.6026,-2.4408,novel
676,CHEMBL1200825,METHADONE HYDROCHLORIDE,0.6025,-2.4418,novel
677,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,0.6024,-2.4424,novel
678,CHEMBL1650443,TRELAGLIPTIN,0.6024,-2.443,novel
679,CHEMBL90593,PRASTERONE,0.6022,-2.4454,novel
680,CHEMBL1200914,TAMSULOSIN HYDROCHLORIDE,0.6022,-2.4458,novel
681,CHEMBL5314354,POLYMYXIN B,0.6021,-2.4469,novel
682,CHEMBL1201002,CARTEOLOL HYDROCHLORIDE,0.6015,-2.4546,novel
683,CHEMBL1723241,SULFACETAMIDE SODIUM,0.6015,-2.4548,novel
684,CHEMBL1337,NITISINONE,0.6014,-2.456,novel
685,CHEMBL1094636,NIRAPARIB,0.6013,-2.4574,novel
686,CHEMBL4596392,CRAVACITINIB,0.6012,-2.4586,novel
687,CHEMBL5314373,"CEFPROZIL, (E)-",0.6011,-2.4596,novel
688,CHEMBL1690,HYDROXYCHLOROQUINE SULFATE,0.6006,-2.4667,novel
689,CHEMBL985,UREA,0.6003,-2.4702,novel
690,CHEMBL6067487,IVERMECTIN,0.6,-2.4738,novel
691,CHEMBL3301592,SODIUM ZIRCONIUM CYCLOSILICATE,0.5995,-2.4802,novel
692,CHEMBL1201185,LANREOTIDE,0.5995,-2.4806,novel
693,CHEMBL4558324,LAZERTINIB,0.5995,-2.481,novel
694,CHEMBL4297340,EDOTREOTIDE GALLIUM GA-68,0.5993,-2.4824,novel
695,CHEMBL517712,ATROPINE,0.5991,-2.4855,novel
696,CHEMBL1201777,TAPENTADOL HYDROCHLORIDE,0.599,-2.4871,novel
697,CHEMBL4297734,CRIZANLIZUMAB,0.5984,-2.4947,novel
698,CHEMBL991,STAVUDINE,0.5984,-2.4952,novel
699,CHEMBL6067995,BEROTRALSTAT HYDROCHLORIDE,0.5983,-2.4954,novel
700,CHEMBL317052,REGADENOSON ANHYDROUS,0.5982,-2.4971,novel
701,CHEMBL1201765,FESOTERODINE FUMARATE,0.598,-2.4993,novel
702,CHEMBL506,PRIMAQUINE,0.598,-2.4994,novel
703,CHEMBL3707322,LETIBOTULINUMTOXINA,0.5977,-2.5034,novel
704,CHEMBL21333,PRANLUKAST,0.5974,-2.5071,novel
705,CHEMBL534,KETOTIFEN,0.5972,-2.5098,novel
706,CHEMBL2105395,OSPEMIFENE,0.5972,-2.5106,novel
707,CHEMBL1200491,EPINASTINE HYDROCHLORIDE,0.597,-2.5124,novel
708,CHEMBL3989944,DIROXIMEL FUMARATE,0.5969,-2.5137,novel
709,CHEMBL2108738,NIVOLUMAB,0.5969,-2.5138,novel
710,CHEMBL4650429,TOZINAMERAN,0.5969,-2.5143,novel
711,CHEMBL681,ETOMIDATE,0.5968,-2.515,novel
712,CHEMBL1201670,SARGRAMOSTIM,0.5968,-2.5157,novel
713,CHEMBL1530428,DEXAMETHASONE ACETATE,0.5967,-2.5172,novel
714,CHEMBL4650491,ELASOMERAN,0.5965,-2.5192,novel
715,CHEMBL46740,BAZEDOXIFENE,0.5965,-2.5193,novel
716,CHEMBL3184512,CLINDAMYCIN PHOSPHATE,0.5962,-2.5226,novel
717,CHEMBL319144,MINODRONIC ACID,0.596,-2.5262,novel
718,CHEMBL4299851,PIFLUFOLASTAT,0.5958,-2.5279,novel
719,CHEMBL4297809,ELRANATAMAB,0.5958,-2.5286,novel
720,CHEMBL1201065,THIAMYLAL SODIUM,0.5954,-2.5338,novel
721,CHEMBL1095930,CEFUROXIME AXETIL,0.5953,-2.5343,novel
722,CHEMBL1201037,EFLORNITHINE HYDROCHLORIDE,0.5952,-2.5355,novel
723,CHEMBL218291,FORODESINE,0.5951,-2.5368,novel
724,CHEMBL1200845,HALCINONIDE,0.5951,-2.5372,novel
725,CHEMBL1200953,HYDROCORTISONE PROBUTATE,0.5951,-2.5372,novel
726,CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,0.595,-2.5391,novel
727,CHEMBL728,PROCHLORPERAZINE,0.5949,-2.5393,novel
728,CHEMBL1200699,DOXYCYCLINE,0.5948,-2.5414,novel
729,CHEMBL2105581,VERALIPRIDE,0.5947,-2.542,novel
730,CHEMBL3707290,SOMAPACITAN,0.5946,-2.5441,novel
731,CHEMBL298470,TAFENOQUINE,0.5943,-2.5473,novel
